experiment,process_create,process_term,reg_create_key,reg_write,file_create,image_load,reg_delete_key,net_connect,reg_delete_value,year,label,test
E1053,1.0,2.0,111.0,1.0,67.0,102.0,0.0,3.0,0.0,2017.0,malicious,True
E1054,1.0,2.0,111.0,4.0,68.0,102.0,0.0,3.0,0.0,2017.0,malicious,True
E1055,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,2017.0,malicious,True
E1056,0.0,0.0,0.0,0.0,8.0,37.0,0.0,0.0,0.0,2021.0,benign,False
E1057,0.0,0.0,1.0,3.0,15.0,57.0,0.0,2.0,0.0,2021.0,malicious,False
E1058,1.0,0.0,4.0,4.0,70.0,86.0,0.0,0.0,0.0,2017.0,malicious,False
E1059,0.0,1.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,2021.0,benign,False
E106,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,2023.0,benign,False
E1060,0.0,1.0,0.0,0.0,3.0,15.0,0.0,0.0,0.0,2017.0,benign,False
E1061,2.0,3.0,7.0,4.0,7.0,82.0,0.0,0.0,0.0,2017.0,malicious,True
E1062,0.0,1.0,0.0,0.0,4.0,25.0,0.0,0.0,0.0,2023.0,benign,False
E1063,1.0,0.0,0.0,0.0,44.0,88.0,0.0,0.0,0.0,2021.0,benign,False
E1064,1.0,2.0,108.0,0.0,60.0,94.0,0.0,3.0,0.0,2017.0,malicious,True
E1065,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,2024.0,benign,True
E1066,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,2024.0,benign,False
E1067,0.0,1.0,0.0,0.0,1.0,21.0,0.0,0.0,0.0,2017.0,malicious,True
E1068,1.0,2.0,0.0,0.0,11.0,53.0,0.0,0.0,0.0,2024.0,benign,False
E1069,0.0,0.0,0.0,0.0,15.0,41.0,0.0,0.0,0.0,2020.0,malicious,False
E107,0.0,1.0,1.0,2.0,0.0,11.0,0.0,0.0,0.0,2024.0,benign,True
E1070,2.0,2.0,25.0,22.0,114.0,171.0,1.0,0.0,5.0,2024.0,benign,False
E1071,1.0,0.0,0.0,0.0,17.0,58.0,0.0,0.0,0.0,2022.0,malicious,False
E1072,1.0,2.0,0.0,0.0,8.0,47.0,0.0,0.0,0.0,2021.0,benign,False
E1073,3.0,4.0,0.0,0.0,9.0,115.0,0.0,0.0,0.0,2017.0,malicious,False
E1074,1.0,1.0,1.0,4.0,49.0,97.0,0.0,0.0,0.0,2024.0,malicious,True
E1075,0.0,1.0,0.0,0.0,7.0,19.0,0.0,0.0,0.0,2024.0,benign,False
E1076,5.0,4.0,2.0,1.0,57.0,167.0,0.0,2176.0,0.0,2017.0,malicious,False
E1077,14.0,12.0,3.0,10.0,191.0,468.0,0.0,46.0,0.0,2021.0,malicious,False
E1078,1.0,2.0,110.0,0.0,79.0,108.0,0.0,3.0,0.0,2022.0,malicious,False
E1079,0.0,0.0,0.0,0.0,1.0,25.0,0.0,0.0,0.0,2021.0,benign,False
E108,2.0,2.0,5.0,11.0,70.0,104.0,0.0,4.0,2.0,2017.0,malicious,False
E1080,0.0,1.0,0.0,0.0,15.0,36.0,0.0,0.0,0.0,2017.0,malicious,True
E1081,1.0,2.0,0.0,0.0,5.0,50.0,0.0,0.0,0.0,2023.0,benign,False
E1082,1.0,2.0,0.0,0.0,3.0,54.0,0.0,0.0,0.0,2024.0,benign,False
E1083,0.0,1.0,0.0,0.0,2.0,23.0,0.0,0.0,0.0,2024.0,benign,True
E1084,36.0,31.0,15.0,19.0,534.0,735.0,0.0,16.0,0.0,2017.0,malicious,True
E1085,0.0,0.0,10.0,10.0,449.0,35.0,0.0,0.0,0.0,2017.0,malicious,False
E1086,0.0,0.0,0.0,0.0,7.0,28.0,0.0,0.0,0.0,2023.0,benign,False
E1087,1.0,2.0,1.0,3.0,1.0,46.0,0.0,0.0,0.0,2024.0,benign,True
E1088,0.0,1.0,0.0,0.0,13.0,33.0,0.0,0.0,0.0,2017.0,malicious,False
E1089,0.0,0.0,0.0,0.0,17.0,36.0,0.0,0.0,0.0,2020.0,benign,False
E109,0.0,0.0,2.0,7.0,12.0,53.0,0.0,1.0,0.0,2017.0,malicious,True
E1090,0.0,0.0,0.0,0.0,8.0,22.0,0.0,0.0,0.0,2017.0,malicious,True
E1091,7.0,8.0,0.0,0.0,63.0,224.0,0.0,0.0,0.0,2017.0,malicious,False
E1092,0.0,0.0,0.0,0.0,8.0,27.0,0.0,0.0,0.0,2024.0,benign,True
E1093,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,2024.0,benign,False
E1094,7.0,8.0,24.0,32.0,64.0,224.0,0.0,0.0,0.0,2017.0,malicious,True
E1095,0.0,0.0,0.0,0.0,34.0,46.0,0.0,0.0,0.0,2017.0,benign,False
E1096,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,2024.0,benign,False
E1097,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,2024.0,benign,False
E1098,1.0,2.0,111.0,0.0,50.0,94.0,0.0,3.0,0.0,2017.0,malicious,False
E1099,0.0,0.0,0.0,0.0,6.0,30.0,0.0,0.0,0.0,2023.0,benign,False
E11,1.0,0.0,0.0,0.0,105.0,117.0,0.0,0.0,0.0,2023.0,benign,False
E110,0.0,1.0,4.0,7.0,20.0,61.0,0.0,1.0,0.0,2021.0,malicious,False
E1100,0.0,0.0,0.0,0.0,7.0,28.0,0.0,0.0,0.0,2022.0,benign,False
E1101,0.0,0.0,0.0,0.0,24.0,44.0,0.0,0.0,0.0,2024.0,benign,True
E1102,1.0,2.0,0.0,0.0,1.0,47.0,0.0,0.0,0.0,2021.0,benign,False
E1103,0.0,0.0,10.0,10.0,434.0,35.0,0.0,0.0,0.0,2017.0,malicious,True
E1104,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,2024.0,benign,False
E1105,1.0,1.0,1.0,4.0,38.0,82.0,0.0,0.0,0.0,2017.0,malicious,True
E1106,1.0,0.0,137.0,9.0,392.0,140.0,0.0,9.0,4.0,2023.0,benign,False
E1107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017.0,malicious,False
E1108,0.0,1.0,6.0,0.0,42.0,85.0,0.0,0.0,2.0,2021.0,malicious,False
E1109,0.0,1.0,0.0,0.0,6.0,52.0,0.0,0.0,0.0,2023.0,benign,False
E111,0.0,0.0,0.0,0.0,15.0,30.0,0.0,0.0,0.0,2024.0,benign,False
E1110,0.0,0.0,0.0,0.0,7.0,25.0,0.0,0.0,0.0,2021.0,malicious,False
E1111,1.0,2.0,111.0,0.0,52.0,102.0,0.0,3.0,0.0,2017.0,malicious,True
E1112,1.0,0.0,0.0,0.0,49.0,84.0,0.0,0.0,0.0,2024.0,benign,True
E1113,0.0,0.0,0.0,0.0,36.0,49.0,0.0,0.0,0.0,2020.0,malicious,False
E1114,0.0,0.0,2.0,0.0,755.0,46.0,0.0,24.0,0.0,2017.0,malicious,True
E1115,0.0,0.0,10.0,10.0,464.0,35.0,0.0,0.0,0.0,2017.0,malicious,False
E1116,5.0,3.0,7.0,4.0,88.0,207.0,0.0,109.0,0.0,2017.0,malicious,True
E1117,0.0,1.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,2024.0,benign,False
E1118,27.0,23.0,10.0,14.0,525.0,576.0,0.0,15.0,0.0,2017.0,malicious,True
E1119,1.0,2.0,111.0,0.0,79.0,120.0,0.0,3.0,0.0,2017.0,malicious,True
E112,1.0,2.0,0.0,0.0,9.0,54.0,0.0,0.0,0.0,2024.0,benign,True
E1120,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,2024.0,benign,False
E1121,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,2024.0,benign,False
